name,type,generation
Arctibax,Dragon/Ice,9
Baxcalibur,Dragon/Ice,9
Gimmighoul,Ghost,9
Gholdengo,Steel/Ghost,9
Wo Chien,Dark/Grass,9
Chien Pao,Dark/Ice,9
Ting Lu,Dark/Ground,9
Chi Yu,Dark/Fire,9
Roaring Moon,Dragon/Dark,9
Iron Valiant,Fairy/Fighting,9
Koraidon,Fighting/Dragon,9
Miraidon,Electric/Dragon,9
Walking Wake,Water/Dragon,9
Iron Leaves,Grass/Psychic,9
Dipplin,Grass/Dragon,9
Poltchageist,Grass/Ghost,9
Sinistcha,Grass/Ghost,9
Okidogi,Poison/Fighting,9
Munkidori,Poison/Psychic,9
Fezandipiti,Poison/Fairy,9
Ogerpon,Grass,9
Archaludon,Steel/Dragon,9
Hydrapple,Grass/Dragon,9
Gouging Fire,Fire/Dragon,9
Raging Bolt,Electric/Dragon,9
Iron Boulder,Rock/Psychic,9
Iron Crown,Steel/Psychic,9
Terapagos,Normal,9
Pecharunt,Poison/Ghost,9
